slang,formal
kerasin,kerasi
kerass,keras
kerdus,kardus
kere,miskin
kereeeeen,keren
kereeeeennn,keren
kereeeeennnn,keren
kereeeen,keren
kereeen,keren
kereeennnn,keren
kereen,keren
kereenn,keren
kereennn,keren
"keren""",keren-keren
keren2,keren-keren
kerenn,keren
kerennn,keren
kerennnn,keren
kerennnnn,keren
kering2,kering-kering
keringet,keringat
kerj,kerja
kerjaan,pekerjaan
kerjain,kerjakan
kerjan,pekerjaan
kerreeen,keren
kerrennn,keren
kerrrrennnn,keren
kerumah,ke rumah
kesabaranya,kesabarannya
kesalahane,kesalahannya
kesalahanny,kesalahannya
kesalon,ke salon
kesampean,kesampaian
kesampeng,ke samping
kesane,kesannya
kesangkut,tersangkut
kesanya,kesannya
kesasar,tersasar
kesawah,ke sawah
kesayanganya,kesayangannya
kesederhanan,kesederhanaan
kesedian,kesediaan
kesedianya,kesediaannya
kesekolah,ke sekolah
keselip,terselip
kesetian,kesetiaan
kesetianmu,kesetiaanmu
kesetianya,kesetiaannya
kesian,kasihan
kesinii,kesini
kesiniii,kesini
kesklh,ke sekolah
kesmpean,kesampaian
kesna,kesana
kesni,kesini
kesno,kesana
kesodara,ke saudara
kesokalh,ke sekolah
kesono,kesana
kesukan,kesukaan
ket,keterangan
ketaatanny,ketaatannya
ketabrak,tertabrak
ketagih,tertagih
ketara,tertara
ketarik,tertarik
ketauan,ketahuan
ketawa,tertawa
ketawa2,ketawa-tawa
ketawaa,ketawa
ketawain,mentertawakan
ketawakkkk,ketawa
ketemuuu,ketemu
ketentuanya,ketentuannya
keterpurulanya,keterpurukannya
ketiban,tertimpa
ketidaknyamananya,ketidaknyamanannya
ketidung,ke tidung
ketike,ketika
ketimpa,tertimpa
ketingalan,ketinggalan
ketipu,tertipu
ketok,terlihat
ketoke,sepertinya
ketrangan,keterangan
ketrngan,keterangan
ketuan,ketuaan
ketuker,ketukar
ketutup,tertutup
keungulan,keunggulan
keungulanya,keunggulannya
kewarganegaran,kewarganegaraan
kewarnet,ke warung internet
keyword,kata kunci
kga,tidak
kgak,tidak
kgeeeen,kangen
kgk,tidak
kgn,kangen
kh,kah
kha,kah
khadiran,kehadiran
khadirannya,kehadirannya
khan,kan
kharismanya,karismanya
khayalany,khayalannya
khdpn,kehidupan
khidupan,kehidupan
khilap,khilaf
khs,khas
kie,ini
kira2,kira-kira
kirain,mengira
kiriii,kiri
kirimin,mengirimi
kitaa,kita
kitaaa,kita
kite,kita
kiya,kita
kiyai,kyai
kjadian,kejadian
kjauhan,kejauhan
kjauhn,kejauhan
kk,kakak
kka,kakak
kkak,kakak
kki,kaki
kklau,kalau
kl,kalau
klah,kalah
klahiran,kelahiran
klaksonya,klaksonnya
klakuan,kelakuan
klangan,kalangan
klapa,kelapa
klas,kelas
klau,kalau
klauu,kalau
klebihan,kelebihan
klekson,klakson
klen,kalian
klepek2,klepek-klepek
klg,keluarga
klh,kalah
klhran,kelahiran
kli,kali
kliahatan,kelihatan
klian,kalian
kliatan,kelihatan
kliatanya,kelihatannya
kliatn,kelihatan
klien2,klien-klien
klihatan,kelihatan
kliling,keliling
klima,kelima
klk,kelak
klkuan,kelakuan
kll,kalo
klmbutan,kelembutan
klmpok,kelompok
kln,kalian
klo,kalau
klok,kalo
kloop,klop
klow,kalau
klrg,keluarga
klrga,keluarga
kls,kelas
klu,kalau
kluar,keluar
kluaran,keluaran
kluarga,keluarga
kluargo,keluarga
kluarin,keluarkan
kluarkan,keluarkan
klulusan,kelulusan
klw,kalau
klytn,kelihatan
klz,kelas
km,kamu
kmaha,bagaimana
kmaleman,kemalaman
kmana,kemana
kmana2,kemana-mana
kmane,kemana
kmar,kamar
kmaren,kemarin
kmari,kemari
kmariiin,kemarin
kmarin,kemarin
kmauan,kemauan
kmbali,kembali
kmbang,kembang
kmbaranya,kembarannya
kmbl,kembali
kmbli,kembali
kmbuh,kambuh
kmewahan,kemewahan
kmi,kami
kmis,kamis
kmn,kemana
kmna,kemana
kmna2,kemana-mana
kmonas,ke monas
kmpl,kumpul
kmplin,kumpulkan
kmpnye,kampanye
kmpul,kumpul
kmpung,kampung
kmpus,kampus
kmr,kamar
kmren,kemarin
kmri,kemari
kmrin,kemarin
kmrmandi,kamar mandi
kmrn,kemarin
kms,kamis
kmu,kamu
kmunya,kamunya
kn,kan
kna,kena
knal,kenal
knan,kanan
knapa,kenapa
knape,kenapa
knci,kunci
kndala,kendala
kndaraan,kendaraan
kndaran,kendaraan
kndisi,kondisi
kndla,kendala
kndung,kandung
knfrmsi,konfirmasi
kngen,kangen
kngenn,kangen
knggo,untuk
kngn,kangen
kngo,untuk
kni,kini
knjungi,kunjungi
knl,kenal
knlan,kenalan
knp,kenapa
knp2,kenapa-kenapa
knpa,kenapa
knpah,kenapa
knpp,kenapa
knsul,konsultasi
kntor,kantor
kntr,kantor
knyataan,kenyataan
knyatan,kenyataan
knytaanya,kenyataannya
knytanya,kenyataannya
ko,kok
kobul,kabul
kocaaaak,kocak
kocaaaakkk,kocak
kocakkk,kocak
kocakkkkkk,kocak
kocakkkkkkkkkkkkkk,kocak
koclak,kocak
kog,kok
kokkk,kok
kokohh,engkoh
komen2,komen-komen
komen2an,komen-komenan
komenan,komentar
komenannya,komentarnya
koment,komentar
komentar2,komentar-komentar
komentarin,komentari
komentnya,komentarnya
komenx,komennya
kominfo,Komunikasi dan Informatika
komnas,komisi nasional
komntr,komentar
komplk,komplek
komuk,muka
komunitas2,komunitas-komunitas
konsekwensi,konsekuensi
konsul,konsultasi
konsumenya,konsumennya
kontak2,kontak-kontak
konten2,konten-konten
kontrakanya,kontrakannya
koordinasikn,koordinasikan
koplak,kocak
koplakkk,koplak
koq,kok
kordinasi,koordinasi
kordinasikn,koordinasikan
kordinat,koordinat
korek2,korek-korek
kosanya,kosannya
kosongin,kosongkan
kost,kos
kostom,kostum
kotabgr,kota bogor
kowe,kamu
kox,kok
koyo,seperti
kpada,kepada
kpala,kepala
kpalaku,kepalaku
kpan,kapan
kpancing,terpancing
kpantai,ke pantai
kpd,kepada
kpengen,ingin
kpercyaan,kepercayaan
kpercyan,kepercayaan
kpleset,terpleset
kpn,kapan
kpn2,kapan-kapan
kpnpun,kapanpun
kpotong,terpotong
kprluan,keperluan
kpuasan,kepuasan
kputusan,keputusan
kq,kok
kqmu,kamu
kr,kira
kra,kira
kra2,kira-kira
krajinan,kerajinan
kranjang,keranjang
kraya,karya
kreatifitas,kreativitas
kreatip,kreatif
kreative,kreatif
kreean,keren
kreeenn,keren
kreen,keren
kren,keren
krena,karena
krenn,keren
kreta,kereta
krg,kurang
kri,kiri
kriput,keriput
krj,kerja
krja,kerja
krjaan,pekerjaan
krjo,kerja
krm,kirim
krmh,kerumah
krn,karena
krna,karena
krng,kurang
kro,sama
krpoooo,kepo
krt,kartu
krtik,kritik
krtu,kartu
krtunya,kartunya
krudung,kerudung
krudungan,kerudungan
krus,kurus
krya,karya
ksampean,kesampaian
ksana,kesana
ksedot,tersedot
ksel,kesal
ksenangan,kesenangan
ksetrum,tersetrum
ksh,kasih
ksian,kasihan
ksiang,kesiangan
ksiangan,kesiangan
ksianny,kasihannya
ksiannya,kasihannya
ksiany,kasihannya
ksianya,kasihannya
ksih,kasih
ksihan,kasihan
ksini,kesini
ksitu,kesitu
kskolah,ke sekolah
kslahan,kesalahan
kslhn,kesalahan
ksn,kesana
ksna,kesana
ksni,kesini
ksno,kesana
ksono,kesana
kstu,kesitu
ksukaan,kesukaan
ksukaanmuuu,kesukaanmu
ksukan,kesukaan
ksyngn,kesayangan
kt,kita
kt2,kata-kata
kta,kata
ktaa,kita
ktaatan,ketaatan
ktany,katanya
ktanya,katanya
ktawa,ketawa
ktawa2,ketawa-tawa
ktemu,ketemu
ktergantungan,ketergantungan
ktg,kita
ktika,ketika
ktimbang,daripada
ktingalan,ketinggalan
ktinggalan,ketinggalan
ktinggian,ketinggian
ktingian,ketinggian
ktk,ketika
ktka,ketika
ktm,ketemu
ktmpt,ketempat
ktmu,ketemu
ktmuan,ketemuan
ktng,ketinggalan
ktny,katanya
ktnya,katanya
ktor,kotor
ktusuk,tertusuk
ktwa,ketawa
kuaaatt,kuat
kuangen,kangen
kuatttt,kuat
kubarikan,kuberikan
kubawain,kubawakan
kucing'y,kucingnya
kueren2,keren-keren
kuliyh,kuliah
kumaha,bagaimana
kumplit,komplit
kumpul2,kumpul-kumpul
kumpulin,kumpulkan
kunaon,kenapa
kuninggg,kuning
kuningggg,kuning
kunjunganya,kunjungannya
kunjungin,kunjungi
kupayakan,kuupayakan
kuper,kurang pergaulan
kura2,kura-kura
kurangin,kurangi
kureeeen,keren
kurng,kurang
kusem,kusam
kususnya,khususnya
kutuu,kutu
kuu,ku
kuy,yuk
kuyy,yuk
kuyyy,yuk
kw,kau
kwatir,kawatir
kx,kak
ky,seperti
kya,seperti
kyak,seperti
kyaknya,sepertinya
kyakx,sepertinya
kyamanan,kenyamanan
kyanya,sepertinya
kyax,kayak
kyk,seperti
kyk.a,kayaknya
kyke,sepertinya
kyknya,sepertinya
kykx,sepertinya
kyky,sepertinya
kyny,sepertinya
kynya,sepertinya
kyy,kaya
la,lah
laa,lah
laaaah,lah
laba2,laba-laba
ladenin,meladeni
laen,lain
laenny,lainnya
lafazd,lafaz
lagihh,lagi
lagii,lagi
lagiii,lagi
lagiiii,lagi
laginy,laginya
lagu2,lagu-lagu
lagu2nya,lagu-lagunya
lagu'y,lagunya
lahh,lah
lahhh,lah
lahhhhhh,lah
lahirr,lahir
lainnn,lain
lainny,lainnya
lainnyaa,lainnya
lainx,lainnya
lainy,lainnya
lainya,lainnya
lairannya,kelahirannya
"laki""",laki-laki
laki2,laki-laki
lakik,laki
"laku""",laku-laku
lakuin,melakukan
lama2,lama-lama
lamo,lama
lancar2,lancar-lancar
lancr,lancar
langgengggg,langgeng
langgenh,langgeng
lanjt,lanjut
lanjutin,lanjutkan
lanjutkaaaaan,lanjutkan
lansia,lanjut usia
lapakk,lapak
lapanganya,lapangannya
laper,lapar
laporanya,laporannya
laporin,laporkan
lathan,latihan
latian,latihan
latiannya,latihannya
latianya,latihannya
latihanya,latihannya
lau,kau
lautnye,lautnya
lawaaaas,lawas
lawanya,lawannya
lawanye,lawannya
lbang,lubang
lbh,lebih
lbih,lebih
lbihh,lebih
lbr,libur
lbran,liburan
lbrn,liburan
lbur,libur
lburan,liburan
lcu,lucu
ldr,hubungan jarak jauh
le,boleh
lebar2,lebar-lebar
lebayy,lebay
lebh,lebih
ledekin,ledeki
ledkin,meledeki
leh,boleh
lekong,laki
lengkapin,lengkapi
lengkapp,lengkap
lengkeeett,lengket
lenje,lenjeh
lepasin,lepaskan
letkol,letnan kolonel
lg,lagi
lggeng,langgeng
lggi,lagi
lgi,lagi
lgkah2,langkah-langkah
lgs,langsung
lgsg,langsung
lgsng,langsung
lgsung,langsung
lgu,lagu
lgunya,lagunya
lgy,lagi
lh,boleh
lha,lah
lhat,lihat
lhir,lahir
lhirr,lahir
lhoo,loh
lhooo,loh
lht,lihat
liaat,lihat
liaatt,lihat
liad,lihat
liat,lihat
liat2,lihat-lihat
liatany,kelihatannya
liatiii,lihat
liatin,lihatin
liatlah,lihatlah
liatny,lihatnya
liatnya,lihatnya
liatnyaaa,lihatnya
liatnye,lihatnya
liatt,lihat
liattt,lihat
liat'y,lihatnya
liburin,liburkan
lifestyle,gaya hidup
lihaat,lihat
lihaatttt,lihat
liht,lihat
link,tautan
lipet,lipat
lipetan,lipatan
lipi,Lembaga Ilmu Pengetahuan Indonesia
lipstick,lipstik
liptsk,lipstik
list,daftar
living,tinggal
liyat,lihat
liyatnya,lihatnya
lju,laju
lkuin,lakukan
lkukn,lakukan
llki,lelaki
lluu,lu
lluuccuu,lucu
lma,lama
lma2,lama-lama
lmak,lemak
lmbr,lembar
lmbt,lambat
lmpu,lampu
lmyan,lumayan
lmyn,lumayan
lncr,lancar
lnganan,langganan
lngganan,langganan
lngkap,lengkap
lngkp,lengkap
lngsg,langsung
lngsing,langsing
lngsng,langsung
lngsung,langsung
lnjt,lanjut
lnjut,lanjut
lnjutnya,lanjutnya
lntai,lantai
lo,kamu
local,lokal
location,lokasi
loe,kamu
lohh,lo
lohhh,loh
lohhhh,loh
lokasiny,lokasinya
loksyut,lokasi syuting
lol,tertawa
lom,belum
loncat2,loncat-loncat
loncatt,loncat
loncattt,loncat
longdistance,jarak jauh
longweekend,liburan panjang akhir pekan
longwekend,liburan panjang akhir pekan
longwiken,liburan panjang akhir pekan
loo,lo
looh,loh
loohhh,loh
looo,loh
loooh,loh
looohh,loh
looser,pecundang
lowbet,baterai lemah
lp,lupa
lpa,lupa
lpangan,lapangan
lpas,lepas
lsg,langsung
lt,lantai
lu,kamu
luaarrr,luar
luccu,lucu
luchu,lucu
luco,lucu
lucu2,lucu-lucu
lucuk,lucu
lucukkkkk,lucu
lucunaaa,lucunya
lucunyah,lucunya
lucuu,lucu
lucuukk,lucu
lucuuu,lucu
lucuuuk,lucu
lucuuuu,lucu
lucuuuuu,lucu
lucuuuuuuuu,lucu
lucuuuuuuuuuu,lucu
lucux,lucunya
luh,kamu
luhhh,lu
luhkan,kamu kan
luka2,luka-luka
lupain,lupakan
lupe,lupa
lurusin,meluruskan
luthuna,lucunya
lutu,lucu
lutuna,lucunya
lutunaa,lucunya
lutunaaa,lucunya
luu,lu
luucuuu,lucu
luuuaar,luar
luuuucuuu,lucu
lw,kamu
lwat,lewat
lwn,lawan
lwt,lewat
lyt,lihat
m,sama
m0nas,monas
m4ndiri,mandiri
ma,sama
ma2h,mamah
ma2mu,mamahmu
maaasss,mas
maacih,terima kasih
maafin,memaafi
maak,mak
maap,maaf
maapin,maaf
maau,mau
maauuu,mau
maav,maaf
mabelasribu,lima belas ribu
macacih,terimakasih
macam2,macam-macam
macem,macam
macem2,macam-macam
macetnyo,macetnya
maen,main
maenan,mainan
maenannya,mainannya
maenannye,mainannya
maenanya,mainannya
maenanye,mainannya
maenin,mainkan
maenya,mainnya
maf,maaf
mafin,maafkan
mafkan,maafkan
mahal2,mahal-mahal
mahall,mahal
mahh,mah
mahhhh,mah
maho,manusia homo
mai,mau
main2,main-main
mainy,mainnya
mainya,mainnya
majuuu,maju
makaci,terimakasih
makai,memakai
makany,makanya
makanyaa,makanya
makanye,makanya
makaseh,terimakasih
makasi,terima kasih
makasih,terimakasih
makasiy,terimakasih
make,memakai
"maki""",maki-maki
makin2,makin-makin
makkk,mak
makny,maknya
maksain,memaksakan
maksd,maksud
maksih,terimakasih
maksir,menaksir
maksude,maksudnya
maksudnye,maksudnya
maksudx,maksudnya
maksut,maksud
maksutku,maksudku
maksutnya,maksudnya
mal,mall
malam2,malam-malam
malangg,malang
maleh,lagi
malem,malam
males,malas
malh,malah
malingg,maling
malming,malam minggu
malsudnya,maksudnya
malu2in,malu-maluin
maluu,malu
maluuu,malu
maluuuu,malu
mama.nyy,mamanya
mamany,mamahnya
mamas,mas
mamax,mamanya
mamer,memamerkan
mampuussss,mampus
mampuuu,mampu
mananye,mananya
mancing2,memancing-mancing
mancungin,memancungkan
mandiin,memandikan
mane,mana
mane2,mana-mana
maneh,lagi
manfaatin,manfaatkan
manfat,manfaat
manfatin,manfaatkan
manfatkan,manfaatkan
mang,memang
mangaku,mengaku
mangane,makannya
manggil2,manggil-manggil
manggl,manggil
mangil,manggil
mangil2,manggil-manggil
mangis,manggis
mangkane,makanya
mangkanya,makanya
mangkanye,makanya
mangku,memangku
mangl,manggil
mangnya,memangnya
mangung,manggung
mangungnya,manggungnya
maning,lagi
manis2,manis-manis
manisnyaaaa,manisnya
manisss,manis
manjain,manjakan
mansetan,bermanset
mansyoallah,masyaallah
manta,mantan
mantaaap,mantap
mantaap,mantap
mantab,mantap
mantabb,mantab
mantabh,mantap
mantabp,mantap
mantabs,mantap
mantaf,mantap
mantaff,mantap
mantanny,mantannya
mantapp,mantap
mantappp,mantap
mantapppppp,mantap
mantaps,mantap
mantapz,mantap
manteb,mantap
mantebp,mantap
manteep,mantap
mantemand,teman-teman
mantep,mantap
mantepp,mantap
manteppp,mantap
mantes,memantas
manteub,mantap
manthap,mantap
manusia2,manusia-manusia
manusiy,manusia
manut,ngikut
manutd,ngikut
mao,mau
maonya,maunya
map,maaf
map2,maaf-maaf
mapin,maafkan
marah2,marah-marah
marah2an,marah-marahan
marang,kepada
maren,kemarin
marh,marah
married,menikah
martabakk,martabak
masa2,masa-masa
masaaaa,masa
masal,massal
masalahh,masalah
masalahny,masalahnya
masalh,masalah
masama,sama-sama
masang,memasang
mash,masih
masi,masih
"masing""",masing-masing
masing2,masing-masing
masio,masih
masjed,masjid
maslah,masalah
maso,masa
massss,mas
mastiin,memastikan
mastikn,memastikan
mastin,memastikan
masukin,memasuki
masya,masyaAllah
MasyaAlah,masyaAllah
masyaallahhh,masyaallah
masyalah,masyaAllah
masyarakay,masyarakat
matany,matanya
mataq,mataku
mata'y,matanya
mateeeeeeeeeeee,mati
mateeeek,mati
mateng,matang
"mati""an",mati-matian
matii,mati
matiin,matikan
matikn,matikan
matin,matikan
mato,mata
mattihhh,mati
maunye,maunya
mauu,mau
mauuu,mau
mauuuu,mau
mauuuuu,mau
mauuuuuu,mau
mauuuuuuu,mau
maw,mau
max,maksimal
maximum,maksimal
may,mau
mayan,lumayan
mayann,lumayan
maybe,mungkin
mb,mbak
mba,mbak
"mba""",mbak-mbak
mbaa,mbak
mbaaa,mbak
mbaaahhh,mbah
mbaaass,mbak
mbaak,mbak
mbaakk,mbak
mbahh,mbah
"mbak""",mbak-mbak
mbak2,mbak-mbak
mbake,mbaknya
mbaknyaahh,mbaknya
mbaku,mbakku
mbakx,mbaknya
mbalek,balik
mbalekno,kembalikan
mbalik,balik
mbanya,mbaknya
mbaq,mbak
mbek,sama
mbg,mbak
mbil,sambil
mbiyen,dahulu
mbk,mbak
mblo,jomblo
mblooo,jomblo
mboizzz,bois
mboten,tidak
mbrikan,memberikan
mbuat,membuat
mbuh,embuh
mbwa,membawa
mcam,macam
mcetnya,macetnya
mcm,macam
mcm2,macam-macam
mdg,mending
mdh,mudah
"mdh""",mudah-mudah
mdh2an,mudah-mudahan
mdh2n,mudah-mudahan
mdingan,mendingan
megang,memegang
mehoonggggg,mahal
mekah,mekkah
meker,mikir
melahirin,melahirkan
melakukanya,melakukannya
melakukn,melakukan
melangar,melanggar
melebihin,melebihi
melihara,memelihara
melu,ikut
meluk,memeluk
memasukan,memasukkan
membalikan,membalikkan
"membanding""",membanding-banding
membiarkanya,membiarkannya
membutuhkn,membutuhkan
memgumpulkan,mengumpulkan
memikirkanya,memikirkannya
memperingatai,memperingati
mempermslhin,mempermasalahkan
mempertangungjawabkanya,mempertanggungjawabkannya
memprduksi,memproduksi
mempromosika,mempromosikan
menaklukan,menaklukkan
menakotkan,menakutkan
menangapi,menanggapi
menangungnya,menanggungnya
menasehati,menasihati
menbelah,membelah
mendam,memendam
mendapatkn,mendapatkan
mendj,menjadi
mendonlot,mengunduh
mendownload,mengunduh
mendpat,mendapat
mendptkan,mendapatkan
menegerti,mengerti
meneng,diam
mengabulkanya,mengabulkannya
mengagalkan,menggagalkan
mengait2kan,mengait-ngaitkan
mengalahkn,mengalahkan
mengambar,menggambar
mengambarkan,menggambarkan
mengandeng,menggandeng
mengangap,menganggap
mengangu,mengganggu
menganguk,mengangguk
menganti,mengganti
mengantung,menggantung
mengasikan,mengasyikkan
mengasyikan,mengasyikkan
mengatakn,mengatakan
mengelar,menggelar
mengeliat,menggeliat
mengelinding,menggelinding
mengelitik,menggelitik
mengembirakan,menggembirakan
mengen2in,membuat kepingin
mengeringkanya,mengeringkannya
menggunakn,menggunakan
menggunkan,menggunakan
menggunkn,menggunakan
mengherthii,mengerti
menghilangkn,menghilangkan
mengikutii,mengikuti
mengirimkn,mengirimkan
mengirusi,mengurusi
mengktfka,mengaktifkan
mengncang,mengencang
mengoda,menggoda
mengperbolehkan,memperbolehkan
mengugah,menggugah
mengunakan,menggunakan
mengunakn,menggunakan
menguncang,mengguncang
mengunkan,menggunakan
mengunkn,menggunakan
menheningkan,mengheningkan
menhub,menteri perhubungan
meningal,meninggal
meningalkan,meninggalkan
meningalnya,meninggalnya
menjdi,menjadi
menjelekan,menjelekkan
"mentah""",mentah-mentah
"mentang""",mentang-mentang
menungang,menunggang
menungu,menunggu
menungumu,menunggumu
menunjukan,menunjukkan
menurur,menurut
menyebut2,menyebut-nyebut
menyenangkn,menyenangkan
menyengol,menyenggol
meranin,memerankan
merayakanya,merayakannya
mereka2,mereka-mereka
merekaa,mereka
merekaaaa,mereka
merekak,mereka
meriahh,meriah
merindinggg,merinding
merit,menikah
merka,mereka
merrid,merit
mesinya,mesinnya
mesjid,masjid
mesrany,mesranya
met,selamat
mewah2,mewah-mewah
meweg,mau nangis
mewek,mau nangis
mf,maaf
mff,maaf
mg,moga
mgalami,mengalami
mggelar,menggelar
mggu,minggu
mghntarkan,menghantarkan
mgk,mungkin
mgkin,mungkin
mgkn,mungkin
mgkt,berangkat
mgok,mogok
mh,mah
mhn,mohon
mhon,mohon
mhsiswamu,mahasiswamu
mi apah,demi apa
miapa,demi apa
miapah,demi apa
miapeh,demi apa
miara,memiara
mikir,berfikir
mikir2,berfikir-fikir
mikiran,suka berfikir
mikiri,memikirkan
mikirin,memikirkan
mikirinnn,memikirkan
mikirkeun,memikirkan
mikirny,berfikirnya
mikirnya,berfikirnya
milih,memilih
milikin,memiliki
milikny,miliknya
miliku,milikku
mimin,admin
mimpiii,mimpi
mingir,minggir
mingu,minggu
mingu2,minggu-minggu
minguan,mingguan
mingunya,minggunya
mingux,minggunya
minpi,mimpi
mint,minta
minta,meminta
mintain,mintakan
mintk,minta
"minyak""an",minyak-minyakan
miriiiiip,mirip
miriiiip,mirip
miriiippp,mirip
miriip,mirip
miring2,miring-miring
miriplahhhhhh,miriplah
miripp,mirip
mirippp,mirip
miripppp,mirip
mirp,mirip
misalny,misalnya
mitnah,memfitnah
mjd,menjadi
mk,maka
mk.a,makanya
mka,maka
mkan,makan
mkanya,makanya
mkasih,terimakasih
mkin,makin
mkir,memikir
mkmur,makmur
mkn,makan
mknan,makanan
mknya,makanya
mks,terimakasih
mksd,maksud
mksdku,maksudku
mksdny,maksudnya
mksdnya,maksudnya
mksdx,maksudnya
mksh,terimakasih
mksi,terimakasih
mksih,terimakasih
mksimal,maksimal
mksod,maksud
mkst,maksud
mksud,maksud
mksudny,maksudnya
mksudnya,maksudnya
mlah,malah
mlai,mulai
mlaku,jalan
mlaku2,jalan-jalan
mlakukan,melakukan
mlakune,jalannya
mlam,malam
mlaz,malas
mlebu,masuk
mledug,meledak
mleduk,meledak
mlem,malam
mlepas,melepas
mlepaskan,melepaskan
mles,malas
mlggr,melanggar
mlgr,melanggar]
mlh,malah
mlihat,melihat
mlikk,milik
mlintas,melintas
mlkukan,melakukan
mlm,malam
mlm2,malam-malam
mlmnya,malamnya
mls,malas
mlt.a,mulutnya
mlu,malu
mlulu,melulu
mlz,malas
mmang,memang
mmbahana,membahana
mmbanggakan,membanggakan
mmbawaku,membawaku
mmbedakan,membedakan
mmbela,membela
mmbeli,membeli
mmberi,memberi
mmberikan,memberikan
mmberikn,memberikan
mmbhyakn,membahayakan
mmbodohkan,membodohkan
mmbrikan,memberikan
mmbuat,membuat
mmbutuhkan,membutuhkan
mmg,memang
mmiliki,memiliki
mmperbaiki,memperbaiki
mmperkuat,memperkuat
mmperpanjang,memperpanjang
mmpi,mimpi
mmpr,mampir
mmprlihatkn,memperlihatkan
mmprsiapkn,mempersiapkan
mmpu,mampu
mmpus,mampus
mmz,mas
mn,mana
mna,mana
mnambh,menambah
mnang,menang
mnangkan,menangkan
mnara,menara
mnarik,menarik
mncapai,mencapai
mncari,mencari
mncoba,mencoba
mncri,mencari
mndadak,mendadak
mndapatkn,mendapatkan
mndaptkan,mendapatkan
mndat,mandat
mnding,mending
mndingan,mendingan
mndok,mondok
mndonkrak,mendongkrak
mndpat,mendapat
mndpt,mendapat
mndptkan,mendapatkan
mndukung,mendukung
mndukungnya,mendukungnya
mndung,mendung
mne,mana
mnerima,menerima
mnfaat,manfaat
mngalami,mengalami
mngalir,mengalir
mngasi,mengasih
mngeluarkan,mengeluarkan
mngenang,mengenang
mngendarai,mengendarai
mngerti,mengerti
mnggl,manggil
mnggu,minggu
mngguan,mingguan
mnggunakan,menggunakan
mnggunkn,menggunakan
mnghadap,menghadap
mnghamili,menghamili
mngharap,mengharap
mngheningkan,mengheningkan
mnghina,menghina
mngikuti,mengikuti
mngira,mengira
mngis,manggis
mngkannya,mangkanya
mngkel,kesal
mngkin,mungkin
mngkn,mungkin
mngkne,makanya
mngkonyo,makanya
mngnai,mengenai
mngsudnye,maksudnya
mngu,minggu
mnguan,mingguan
mngunakan,menggunakan
mngunkn,menggunakan
mnikah,menikah
mnikmti,menikmati
mnilai,menilai
mnis,manis
mnis2nya,manis-manisnya
mnisss,manis
mnitikberatkan,menitikberatkan
mnjadi,menjadi
mnjawab,menjawab
mnjd,menjadi
mnjdi,menjadi
mnjdkan,menjadikan
mnjem,meminjam
mnjijikaaaaaan,menjijikkan
mnjmput,menjemput
mnjual,menjual
mnjunjung,menjunjung
mnjwab,menjawab
mnnti,menanti
mnrt,menurut
mnrtkuu,menurutku
mnt,minta
mnta,minta
mntain,mintakan
mntannya,mantannya
mntanya,mantannya
mntap,mantap
mnti,menanti
mntn,mantan
mnual,manual
mnuggu,menunggu
mnugu,menunggu
mnuju,menuju
mnum,minum
mnungGu,menunggu
mnungu,menunggu
mnunjukan,menunjukkan
mnunjukkan,menunjukkan
mnurut,menurut
mnurutmu,menurutmu
mnusia,manusia
mnusuk,menusuk
mnutup,menutup
mnyamar,menyamar
mnyusul,menyusul
mo,mau
model2,model-model
modes,modis
modifan,hasil modifikasi
modification,modifikasi
modified,dimodifikasi
modifikasiin,modifikasikan
modifikasin,modifikasikan
moh,tidak mau
mohom,mohon
momendnya,momennya
moment,momen
moments,momen
momenya,momennya
monasny,monasnya
monday,senin
Mondays,senin
money,uang
monkey,monyet
month,bulan
monyetna,monyetnya
moqa,moga
morning,pagi
mornings,pagi
moro,datang
moro2,datang-datang
morosotkeun,memerosotkan
mother,ibu
motoin,mengambil foto
motone,cara mengambil fotonya
motor2,motor-motor
motr,motor
motret,memotret
mpe,sampai
mpek,sampai
mpempek,pempek
mperkuat,memperkuat
mperpanjang,memperpanjang
mpun,sudah
mpunya,punya
mrah,marah
mrah2,marah-marah
mrangkul,merangkul
mrantau,merantau
mrasa,merasa
mrasakany,merasakannya
mrek,mereka
mreka,mereka
mrekaa,mereka
mrekaaaa,mereka
mrh,marah
mrhn,marahan
mri,mari
mridnya,muridnya
mriki,kesini
mrinding,merinding
mrip,mirip
mrit,merit
mrk,mereka
mrka,mereka
mrnghadapi,menghadapi
mrono,kesana
mrp,merupakan
mrpti,merpati
mrupakn,merupakan
mrusak,merusak
ms,masih
"ms""",masa-masa
msa,masa
msak,masak
msalah,masalah
msg,masing
msg2,masing-masing
msh,masih
msih,masih
msing2,masing-masing
msjid,masjid
msk,masuk
mskasih,terima kasih
mski,meski
mskipun,meskipun
msknya,masaknya
mslah,masalah
mslahnya,masalahnya
mslh,masalah
mslhnya,masalahnya
mslhnye,masalahnya
msng,masing
msog,masak
msohan,musuhan
msok,masak
mst,mesti
msti,mesti
msuk,masuk
msukin,masukkan
msuknya,masuknya
mtanya,matanya
mti,mati
mtor,motor
mtor2,motor-motor
mtore,motornya
mtornya,motornya
mtr,motor
mualll,mual
muantaap,mantap
muantteepp,mantap
mudaa,muda
"mudah""an",mudah-mudahan
"mudah""n",mudah-mudahan
mudah2,mudah-mudah
mudah2an,mudah-mudahan
mudah2n,mudah-mudahan
